小学key: 天津市河西区东湖小学+09ee124c01204efaa88ebc5e07337ba9	  old: 0.000000,0.000000	 new: 
小学key: 北京市西城区师范学校附属小学+4000000671	  old: 0.000000,0.000000	 new: 39.961485820397,116.397419370920
小学key: 北京市西城区三里河第三小学+4000000701	  old: 0.000000,0.000000	 new: 39.916562426501,116.344612840840
小学key: 北京市西城区黄城根小学+4000000693	  old: 0.000000,0.000000	 new: 39.937065000000,116.383303000000
小学key: 北京市西城区宏庙小学+4000000700	  old: 0.000000,0.000000	 new: 39.921393188078,116.377182883380
小学key: 北京市西城区复兴门外第一小学+1838	  old: 0.000000,0.000000	 new: 39.916152221007,116.354523665870
小学key: 北京市西城区阜成门外第一小学+4000000667	  old: 0.000000,0.000000	 new: 39.927672934320,116.357129739990
小学key: 北京第二实验小学+4000000703	  old: 0.000000,0.000000	 new: 39.939600584466,116.360608517900
小学key: 北京市西城区五路通小学+4000000686	  old: 0.000000,0.000000	 new: 39.966982708030,116.390261223470
小学key: 北京市西城区进步小学+4000000697	  old: 0.000000,0.000000	 new: 39.942048207340,116.354335201370
小学key: 北京第二实验小学(民族团结分校)+4000000685	  old: 0.000000,0.000000	 new: 39.956994728891,116.388662509150
小学key: 北京第二实验小学(白云路分校)+4000000687	  old: 0.000000,0.000000	 new: 39.910274596676,116.349943745060
小学key: 北京市西城区西单小学+4000000695	  old: 0.000000,0.000000	 new: 39.915186810242,116.376155311700
小学key: 北京第二实验小学长安校区+4000000665	  old: 0.000000,0.000000	 new: 39.910751043260,116.392493243170
小学key: 北京市西城区裕中小学+4000000666	  old: 0.000000,0.000000	 new: 39.976756279383,116.392695541570
小学key: 北京市西城区顺城街第一小学+4000000669	  old: 0.000000,0.000000	 new: 39.906410530920,116.384187510420
小学key: 北京市西城区中华路小学+ff8080813e2fcdc8013e34fb092703b5	  old: 0.000000,0.000000	 new: 39.943917126080,116.367689231420
小学key: 北京市西城区力学小学+4000000660	  old: 0.000000,0.000000	 new: 39.917448544925,116.384852525990
小学key: 北京第一实验小学前门分校+ff8080813e2fcdc8013e34ff1c4f03f8	  old: 0.000000,0.000000	 new: 39.903576664658,116.390580750740
小学key: 北京第一实验小学+47715575	  old: 0.000000,0.000000	 new: 39.526206515266,116.680548289690
小学key: 北京市西城区鸦儿胡同小学+4000000692	  old: 0.000000,0.000000	 new: 39.948652047663,116.397500757400
小学key: 石景山区古城第二小学+ff8080813e2fcdc8013e3507e06c04e2	  old: 0.000000,0.000000	 new: 39.914758610621,116.200351443740
小学key: 景山学校远洋山水分校+ff8080813e2fcdc8013e350e3ffe04fd	  old: 0.000000,0.000000	 new: 39.909441931319,116.247020660740
小学key: 北京市石景山区京源学校小学部+ff8080813e2fcdc8013e35105b760525	  old: 0.000000,0.000000	 new: 39.902686144834,116.219670761360
小学key: 石景山区海特小学+ff8080813e2fcdc8013e35123fad0538	  old: 0.000000,0.000000	 new: 39.938866544646,116.184555810370
小学key: 北京市石景山区八角北路小学+ff8080813e2fcdc8013e3513e0290539	  old: 0.000000,0.000000	 new: 39.923028127689,116.202762585560
小学key: 北京市石景山区实验小学+ff8080813e2fcdc8013e3516217d053a	  old: 0.000000,0.000000	 new: 39.919925603110,116.209897197410
小学key: 北京市石景山外语实验小学+ff8080813e2fcdc8013e351a1e2c053c	  old: 0.000000,0.000000	 new: 39.934262612850,116.204904954370
小学key: 中国农业科学院附属小学+4000000973	  old: 0.000000,0.000000	 new: 39.965254748027,116.332987240420
小学key: 北京市海淀区上地实验小学+4000001023	  old: 0.000000,0.000000	 new: 40.037475319328,116.321157095840
小学key: 海淀区第二实验小学清宁分校+ff8080813e2fcdc8013e35672d660541	  old: 0.000000,0.000000	 new: 40.035226631185,116.337044437260
小学key: 北京市海淀区翠微小学+4000000931	  old: 0.000000,0.000000	 new: 39.915997545914,116.310805651960
小学key: 北京医科大学附属小学+4000000964	  old: 0.000000,0.000000	 new: 39.929985778080,116.395645037880
小学key: 北京石油学院附属实验小学+ff8080813e2fcdc8013e3585057f0595	  old: 0.000000,0.000000	 new: 40.040411655852,116.383446049050
小学key: 北京市海淀区学府苑小学+ff8080813e2fcdc8013e3587430405a7	  old: 0.000000,0.000000	 new: 40.009449871646,116.359624424220
小学key: 北京市海淀区双榆树第一小学+4000001024	  old: 0.000000,0.000000	 new: 39.975576508717,116.333825359460
小学key: 北京市东城区府学胡同小学+4000000633	  old: 0.000000,0.000000	 new: 39.942162000000,116.416278000000
小学key: 人大附中实验小学+47715319	  old: 0.000000,0.000000	 new: 39.980450273261,116.324336288870
小学key: 北京市东城区分司厅小学+4000000637	  old: 0.000000,0.000000	 new: 39.949555585754,116.411643499690
小学key: 北京市海淀区中关村第三小学万柳校区+45714348	  old: 0.000000,0.000000	 new: 39.969532000000,116.303704000000
小学key: 北京市海淀区民族小学+ff8080813e2fcdc8013e35931aef0651	  old: 0.000000,0.000000	 new: 39.977622813734,116.382713211420
小学key: 北京市东城区灯市口小学+45681823	  old: 0.000000,0.000000	 new: 39.926711906281,116.420394342810
小学key: 北京市海淀区西颐小学+ff8080813e2fcdc8013e359615fa067b	  old: 0.000000,0.000000	 new: 39.970687187566,116.319404591620
小学key: 北京市东城区光明小学+4000000712	  old: 0.000000,0.000000	 new: 39.889915578327,116.443975311600
小学key: 北京万泉小学曙光花园校区+ff8080813e2fcdc8013e3597fb5a06a9	  old: 0.000000,0.000000	 new: 39.948700654280,116.297667394890
小学key: 北京景山学校+ff8080813e2fcdc8013e359842f806aa	  old: 0.000000,0.000000	 new: 39.954382341309,116.432158282280
小学key: 北京市海淀区西二旗小学+ff8080813e2fcdc8013e3599680706ca	  old: 0.000000,0.000000	 new: 40.056254970696,116.317945204490
小学key: 首都师范大学附属小学玉泉校区+ff8080813e2fcdc8013e359b76da06fd	  old: 0.000000,0.000000	 new: 39.947643262348,116.277231932670
小学key: 北京市东城区史家实验学校+4000000657	  old: 0.000000,0.000000	 new: 39.942996710084,116.443709323340
小学key: 北京市东城区东交民巷小学+4000000634	  old: 0.000000,0.000000	 new: 39.910267332691,116.426302318490
小学key: 北京市海淀区万泉小学+4000001017	  old: 0.000000,0.000000	 new: 39.976479342676,116.307726799650
小学key: 北京市东城区校尉胡同小学+ff8080813e2fcdc8013e35a087ad0749	  old: 0.000000,0.000000	 new: 39.921086489857,116.420581549680
小学key: 北京市东城区新鲜胡同小学+ff8080813e2fcdc8013e35a2079c0751	  old: 0.000000,0.000000	 new: 39.927122877979,116.436777908200
